Title,Year,Time,Genere,Rating,Rating_Count,Movi_Link
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,"2,281,638",https://www.imdb.com/title/tt0111161/
Apocalypse Now ,1979,2h 27min,Drama,8.4,"591,920",https://www.imdb.com/title/tt0078788/
The Great Dictator ,1940,2h 5min,Comedy,8.4,"197,676",https://www.imdb.com/title/tt0032553/
Raiders of the Lost Ark ,1981,1h 55min,Action,8.4,"866,321",https://www.imdb.com/title/tt0082971/
Memento ,2000,1h 53min,Mystery,8.4,"1,100,422",https://www.imdb.com/title/tt0209144/
Joker ,2019,2h 2min,Crime,8.5,"860,033",https://www.imdb.com/title/tt7286456/
Alien ,1979,1h 57min,Horror,8.4,"769,742",https://www.imdb.com/title/tt0078748/
Cinema Paradiso ,1988,2h 35min,Drama,8.5,"223,413",https://www.imdb.com/title/tt0095765/
Casablanca ,1942,1h 42min,Drama,8.5,"510,505",https://www.imdb.com/title/tt0034583/
Once Upon a Time in the West ,1968,2h 45min,Western,8.5,"295,614",https://www.imdb.com/title/tt0064116/
Django Unchained ,2012,2h 45min,Drama,8.4,"1,319,583",https://www.imdb.com/title/tt1853728/
The Prestige ,2006,2h 10min,Drama,8.5,"1,157,637",https://www.imdb.com/title/tt0482571/
Rear Window ,1954,1h 52min,Mystery,8.4,"432,924",https://www.imdb.com/title/tt0047396/
The Intouchables ,2011,1h 52min,Biography,8.5,"737,597",https://www.imdb.com/title/tt1675434/
Whiplash ,2014,1h 46min,Drama,8.5,"691,765",https://www.imdb.com/title/tt2582802/
Grave of the Fireflies ,1988,1h 29min,Animation,8.5,"225,907",https://www.imdb.com/title/tt0095327/
Tangerines ,2013,1h 27min,Drama,8.2,"37,450",https://www.imdb.com/title/tt2991224/
Throne of Blood ,1957,1h 50min,Drama,8.1,"45,043",https://www.imdb.com/title/tt0050613/
Aladdin ,1992,1h 30min,Animation,8.0,"364,254",https://www.imdb.com/title/tt0103639/
Three Colors: Red ,1994,1h 39min,Drama,8.1,"87,879",https://www.imdb.com/title/tt0111495/
The Invisible Guest ,2016,1h 46min,Crime,8.1,"127,830",https://www.imdb.com/title/tt4857264/
The Princess Bride ,1987,1h 38min,Adventure,8.1,"385,622",https://www.imdb.com/title/tt0093779/
The Terminator ,1984,1h 47min,Action,8.0,"785,154",https://www.imdb.com/title/tt0088247/
The Circus ,1928,1h 12min,Comedy,8.1,"27,604",https://www.imdb.com/title/tt0018773/
The Help ,2011,2h 26min,Drama,8.0,"419,951",https://www.imdb.com/title/tt1454029/
The Battle of Algiers ,1966,2h 1min,Drama,8.1,"51,286",https://www.imdb.com/title/tt0058946/
"Paris, Texas ",1984,2h 25min,Drama,8.1,"86,789",https://www.imdb.com/title/tt0087884/
Drishyam ,2015,2h 43min,Crime,8.2,"66,237",https://www.imdb.com/title/tt4430212/
It Happened One Night ,1934,1h 45min,Comedy,8.1,"91,521",https://www.imdb.com/title/tt0025316/
Portrait of a Lady on Fire ,2019,2h 2min,Drama,8.1,"50,572",https://www.imdb.com/title/tt8613070/
In the Mood for Love ,2000,1h 38min,Drama,8.1,"119,409",https://www.imdb.com/title/tt0118694/
Gangs of Wasseypur ,2012,5h 21min,Action,8.2,"78,730",https://www.imdb.com/title/tt1954470/
Rocky ,1976,2h,Drama,8.1,"506,741",https://www.imdb.com/title/tt0075148/
Before Sunset ,2004,1h 20min,Drama,8.0,"229,180",https://www.imdb.com/title/tt0381681/
Rebecca ,1940,2h 10min,Drama,8.1,"119,485",https://www.imdb.com/title/tt0032976/
La Haine ,1995,1h 38min,Crime,8.1,"144,781",https://www.imdb.com/title/tt0113247/
"Monsters, Inc. ",2001,1h 32min,Animation,8.0,"795,813",https://www.imdb.com/title/tt0198781/
Amores Perros ,2000,2h 34min,Drama,8.1,"219,472",https://www.imdb.com/title/tt0245712/
Spotlight ,2015,2h 9min,Biography,8.1,"407,470",https://www.imdb.com/title/tt1895587/
